call_id,opened_at,month,call_direction,call_reason,call_type,linked_incident,company,opened_by
CALL0380100,2024-08-01 08:08:22,2024-08,Inbound from User,Follow-up,Incident,INC23793686,AXA FRANCE ADMIN,Agent_075
CALL0380102,2024-08-01 08:24:33,2024-08,Outbound to user,Update,Incident,INC22609494,AXA FRANCE ADMIN,Agent_115
CALL0380107,2024-08-01 09:01:36,2024-08,Outbound to user,Update,Incident,INC23362661,AXA FRANCE AEP,Agent_115
CALL0380109,2024-08-01 09:06:03,2024-08,Inbound from User,Update,Incident,INC23833747,AXA FRANCE ADMIN,Agent_104
CALL0380111,2024-08-01 09:13:37,2024-08,Outbound to Support group,Information,Incident,INC23833993,AXA BANQUE,Agent_099
CALL0380115,2024-08-01 09:17:22,2024-08,Outbound to Support group,Other,Incident,INC23630279,AXA FRANCE ADMIN,Agent_115
CALL0380116,2024-08-01 09:18:39,2024-08,Outbound to user,Update,Incident,INC23700613,UGIPS,Agent_115
CALL0380117,2024-08-01 09:19:05,2024-08,Inbound from User,Update,Incident,INC23810919,AXA FRANCE ADMIN,Agent_113
CALL0380124,2024-08-01 09:23:04,2024-08,Outbound to Support group,Update,Incident,INC23834075,AXA FRANCE ADMIN,Agent_104
CALL0380133,2024-08-01 09:27:30,2024-08,Outbound to user,Update,Incident,INC23807334,JURIDICA,Agent_115
CALL0380138,2024-08-01 09:34:23,2024-08,Outbound to Support group,Update,Incident,INC23834180,UGIPS,Agent_104
CALL0380141,2024-08-01 09:39:27,2024-08,Inbound from User,Information,Incident,INC23825674,JURIDICA,Agent_130
CALL0380148,2024-08-01 09:50:49,2024-08,Outbound to Support group,Update,Incident,INC23834389,AXA FRANCE ADMIN,Agent_104
CALL0380149,2024-08-01 09:51:25,2024-08,Inbound from User,Information,Incident,INC23310977,AXA FRANCE ADMIN,Agent_099
CALL0380162,2024-08-01 10:10:49,2024-08,Inbound from User,Update,Incident,INC23811161,AXA FRANCE ADMIN,Agent_113
CALL0380163,2024-08-01 10:11:15,2024-08,Inbound from User,Information,Incident,INC23833974,AXA FRANCE ADMIN,Agent_002
CALL0380168,2024-08-01 10:21:17,2024-08,Inbound from User,Follow-up,Incident,INC23833993,AXA BANQUE,Agent_129
CALL0380170,2024-08-01 10:21:28,2024-08,Outbound to Support group,Other,Incident,INC23834196,AXA FRANCE CLUB 14,Agent_128
CALL0380169,2024-08-01 10:21:28,2024-08,Inbound from User,Update,Incident,INC23669073,AXA FRANCE ADMIN,Agent_113
CALL0380176,2024-08-01 10:25:23,2024-08,Outbound to Other,Follow-up,Incident,INC23834180,UGIPS,Agent_097
CALL0380184,2024-08-01 10:29:29,2024-08,Outbound to Support group,Update,Incident,INC23835004,AXA FRANCE ADMIN,Agent_104
CALL0380185,2024-08-01 10:31:29,2024-08,Inbound from User,Follow-up,Incident,INC23834324,AXA FRANCE ADMIN,Agent_129
CALL0380199,2024-08-01 10:45:29,2024-08,Outbound to user,Follow-up,Incident,INC23833266,AXA FRANCE ADMIN,Agent_090
CALL0380212,2024-08-01 10:59:10,2024-08,Outbound to Other,Follow-up,Incident,INC23825674,JURIDICA,Agent_054
CALL0380213,2024-08-01 11:01:10,2024-08,Inbound from User,Information,Incident,INC23834196,AXA FRANCE CLUB 14,Agent_130
CALL0380224,2024-08-01 11:11:47,2024-08,Inbound from User,Information,Incident,INC23806740,AXA FRANCE ADMIN,Agent_150
CALL0380226,2024-08-01 11:12:51,2024-08,Outbound to user,Update,Incident,INC23300601,AXA FRANCE ADMIN,Agent_004
CALL0380229,2024-08-01 11:15:09,2024-08,Outbound to user,Update,Incident,INC23493567,AXA FRANCE ADMIN,Agent_004
CALL0380231,2024-08-01 11:19:22,2024-08,Inbound from User,Update,Incident,INC23835273,AXA FRANCE ADMIN,Agent_033
CALL0380233,2024-08-01 11:20:47,2024-08,Outbound to user,Other,Incident,INC23730623,AXA FRANCE ADMIN,Agent_128
CALL0380242,2024-08-01 11:25:50,2024-08,Outbound to user,Other,Incident,INC23787842,AXA FRANCE AEP,Agent_128
CALL0380246,2024-08-01 11:28:35,2024-08,Outbound to Other,Follow-up,Incident,INC23833812,UGIPS,Agent_097
CALL0380248,2024-08-01 11:29:53,2024-08,Outbound to user,Update,Incident,INC23310977,AXA FRANCE ADMIN,Agent_115
CALL0380253,2024-08-01 11:32:18,2024-08,Outbound to Other,Follow-up,Incident,INC23828570,AXA FRANCE ADMIN,Agent_083
CALL0380254,2024-08-01 11:33:22,2024-08,Outbound to Support group,Information,Incident,INC23835615,AXA BANQUE,Agent_099
CALL0380255,2024-08-01 11:33:34,2024-08,Outbound to user,Other,Incident,INC23726724,AXA FRANCE ADMIN,Agent_128
CALL0380257,2024-08-01 11:35:23,2024-08,Outbound to user,Update,Incident,INC23818547,AXA FRANCE ADMIN,Agent_115
CALL0380258,2024-08-01 11:36:24,2024-08,Inbound from User,Information,Incident,INC23817514,AXA FRANCE AEP,Agent_130
CALL0380263,2024-08-01 11:39:47,2024-08,Outbound to Support group,Follow-up,Incident,INC23820837,AXA FRANCE ADMIN,Agent_079
CALL0380269,2024-08-01 11:43:02,2024-08,Outbound to Support group,Other,Incident,INC23818547,AXA FRANCE ADMIN,Agent_115
CALL0380285,2024-08-01 11:53:06,2024-08,Outbound to user,Update,Incident,INC23531109,AXA FRANCE ADMIN,Agent_004
CALL0380293,2024-08-01 11:57:19,2024-08,Outbound to user,Update,Incident,INC23548885,AXA FRANCE ADMIN,Agent_004
CALL0380299,2024-08-01 12:01:18,2024-08,Outbound to user,Update,Incident,INC23590711,AXA FRANCE ADMIN,Agent_004
CALL0380307,2024-08-01 12:07:47,2024-08,Outbound to Other,Follow-up,Incident,INC23833974,AXA FRANCE ADMIN,Agent_083
CALL0380309,2024-08-01 12:08:19,2024-08,Outbound to Other,Follow-up,Incident,INC23833670,AXA FRANCE ADMIN,Agent_124
CALL0380308,2024-08-01 12:08:19,2024-08,Outbound to user,Other,Incident,INC23783077,AXA FRANCE ADMIN,Agent_128
CALL0380311,2024-08-01 12:10:01,2024-08,Outbound to user,Other,Incident,INC23773574,AXA FRANCE ADMIN,Agent_128
