ticket_id,opened_at,resolved_at,month,contact_type,company,category,subcategory,service,environment,state,incident_state,major_incident_state,closure_code,reopen_count,domain,reassignment_count,assignment_group,first_call_resolution,knowledge_article_used,resolution_time_hours,opened_by,assigned_to,resolved_by,resolved_by_group,creator_group
INC24063427,2024-08-30 18:19:59,2024-08-30 18:35:53,2024-08,Phone,AXA FRANCE ADMIN,Question / aide,How to,My support - Active Directory,Production,Résolu,Résolu,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP INQUIRY HOW TO,0.265,Agent_051,Agent_051,Agent_051,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24063377,2024-08-30 18:03:21,2024-08-30 18:05:26,2024-08,Phone,AXA FRANCE ADMIN,Flash Call,Other,My support - Call Desk,Production,Résolu,Résolu,,Call Error,0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,[SILVA] - Procédure - Règles d'utilisation des Templates ,0.034722222222222224,Agent_033,Agent_033,Agent_033,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24063215,2024-08-30 17:33:19,2024-08-30 17:53:38,2024-08,Phone,AXA FRANCE AEP,Question / aide,Réinitialisation du mot de passe,My Support - NETIARD,Production,Résolu,Résolu,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP MDP WAC/RACF,0.3386111111111111,Agent_051,Agent_051,Agent_051,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24063136,2024-08-30 17:17:38,,2024-08,Phone,AXA BANQUE,Access,Login failure,My Support - VSC,Production,En attente d'infos utilisateur,En attente d'infos utilisateur,,,0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,False,[AXA Virtual SmartCard] - Procédure - Solutions pour différents problèmes rencontrés sur VSC,,Agent_150,Agent_150,,,SD_ADMIN_L1_DSIAF
INC24063098,2024-08-30 17:12:26,2024-08-30 17:35:57,2024-08,Phone,AXA FRANCE ADMIN,Matériel,Hardware broken,My support - Laptop,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP  HARDWARE NON FONCTIONNEL ,0.39194444444444443,Agent_141,Agent_141,Agent_141,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24063066,2024-08-30 17:09:10,2024-08-30 17:16:53,2024-08,Chat,AXA FRANCE ADMIN,Matériel,Other,My Support - Accessories,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP  HARDWARE NON FONCTIONNEL ,0.12861111111111112,Agent_033,Agent_033,Agent_033,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24063050,2024-08-30 17:06:30,2024-08-30 17:26:07,2024-08,Phone,AXA FRANCE ADMIN,Question / aide,Other,My support - Other Apps,Production,Résolu,Résolu,,Rejected (Out of Scope),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP INQUIRY OUT OF SCOPE,0.3269444444444444,Agent_128,Agent_128,Agent_128,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062987,2024-08-30 16:58:05,2024-08-30 17:19:48,2024-08,Phone,AXA FRANCE ADMIN,Question / aide,How to,My Support - Mobile Device,Production,Résolu,Résolu,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP INQUIRY HOW TO,0.36194444444444446,Agent_141,Agent_141,Agent_141,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062909,2024-08-30 16:50:09,2024-08-30 17:05:50,2024-08,Phone,AXA FRANCE ADMIN,Flash Call,Other,My support - Call Desk,Production,Résolu,Résolu,,Call Error,0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,[SILVA] - Procédure - Règles d'utilisation des Templates ,0.2613888888888889,Agent_114,Agent_114,Agent_114,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062882,2024-08-30 16:44:30,2024-08-30 16:53:12,2024-08,Chat,AXA FRANCE ADMIN,Flash Call,Other,My support - Call Desk,Production,Résolu,Résolu,,Call Error,0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,[SILVA] - Procédure - Règles d'utilisation des Templates ,0.145,Agent_075,Agent_075,Agent_075,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062879,2024-08-30 16:44:15,2024-08-30 17:58:47,2024-08,Phone,AXA FRANCE ADMIN,Question / aide,Other,My Support - SOLARIS,Production,Résolu,Résolu,,Rejected (Out of Scope),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP INQUIRY OUT OF SCOPE,1.2422222222222221,Agent_072,Agent_072,Agent_072,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062872,2024-08-30 16:43:31,2024-08-30 16:44:16,2024-08,Phone,AXA FRANCE ADMIN,Flash Call,Other,My support - Call Desk,Production,Résolu,Résolu,,Call Error,0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,[SILVA] - Procédure - Règles d'utilisation des Templates ,0.0125,Agent_150,Agent_150,Agent_150,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062867,2024-08-30 16:42:31,2024-08-30 16:55:49,2024-08,Phone,AXA FRANCE ADMIN,Question / aide,Other,My support - Other Apps,Production,Résolu,Résolu,,Rejected (Out of Scope),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP INQUIRY OUT OF SCOPE,0.22166666666666668,Agent_033,Agent_033,Agent_033,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062862,2024-08-30 16:41:51,2024-08-30 17:06:23,2024-08,Phone,AXA FRANCE ADMIN,Application,Other,My Support - VIVASTATION,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,False,AFR WP PERFORMANCE LENTEUR,0.4088888888888889,Agent_128,Agent_128,Agent_128,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062830,2024-08-30 16:38:05,2024-08-30 16:44:19,2024-08,Phone,AXA FRANCE ADMIN,Access,Authorization error,My support - Active Directory,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP AD LEGACY - Gestion Account,0.10388888888888889,Agent_051,Agent_051,Agent_051,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062826,2024-08-30 16:37:53,2024-08-30 17:26:00,2024-08,Phone,AXA FRANCE ADMIN,Question / aide,How to,My support - VPN Win V2,Production,Résolu,Résolu,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP INQUIRY HOW TO,0.8019444444444445,Agent_075,Agent_075,Agent_075,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062783,2024-08-30 16:33:53,,2024-08,Phone,AXA FRANCE ADMIN,Application,Other,My support - Laptop,Production,En cours de traitement,En cours de traitement,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,WP_Device_Mac-Edition_L2_AGO,False,AFR WP MAC EDITION,,Agent_114,Agent_205,,,SD_ADMIN_L1_DSIAF
INC24062764,2024-08-30 16:33:24,2024-08-30 17:21:44,2024-08,Phone,AXA FRANCE ADMIN,Question / aide,Réinitialisation du mot de passe,My Support - NETIARD,Production,Closed,Closed,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP MDP WAC/RACF,0.8055555555555556,Agent_075,Agent_075,Agent_075,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062695,2024-08-30 16:31:41,2024-08-30 16:35:55,2024-08,Chat,AXA FRANCE ADMIN,Flash Call,Other,My support - Call Desk,Production,Résolu,Résolu,,Call Error,0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,[SILVA] - Procédure - Règles d'utilisation des Templates ,0.07055555555555555,Agent_051,Agent_051,Agent_051,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062594,2024-08-30 16:27:09,2024-08-30 16:31:14,2024-08,Virtual Agent,AXA FRANCE ADMIN,,Other,,,Closed,Closed,,Fermé/résolu par l'appelant,0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,False,,0.06805555555555555,Agent_134,,Agent_134,,
INC24062521,2024-08-30 16:19:21,,2024-08,Phone,AXA FRANCE ADMIN,Application,Code Error,My support - Other Apps,Production,Nouveau,Nouveau,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L2_DSIAF,False,AFR WP APPLICATION METIER CODE ERROR,,Agent_009,,,,SD_ADMIN_L1_DSIAF
INC24062471,2024-08-30 16:12:37,2024-08-30 16:25:43,2024-08,Phone,AXA FRANCE ADMIN,Other,Other,My Support - Software Installation,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,,0.21833333333333332,Agent_120,Agent_120,Agent_120,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062431,2024-08-30 16:06:02,2024-08-30 16:27:47,2024-08,Phone,AXA FRANCE ADMIN,Access,Authorization error,My support - Active Directory,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP AD Win Edition - Gestion Account,0.3625,Agent_051,Agent_051,Agent_051,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062408,2024-08-30 16:03:40,2024-08-30 16:12:04,2024-08,Phone,AXA FRANCE ADMIN,Access,Disabled / Expired,My Support - One Account,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,[PassAXA/OneAccount] - Procédure - Réinitialisation du mot de passe ,0.14,Agent_120,Agent_120,Agent_120,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062401,2024-08-30 16:02:39,,2024-08,Phone,AXA FRANCE ADMIN,Question / aide,How to,My support - Laptop,Production,En attente d'infos utilisateur,En attente d'infos utilisateur,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,OSS-BORDEAUX_L1_DSIAF,False,AFR WP INQUIRY HOW TO,,Agent_114,Agent_023,,,SD_ADMIN_L1_DSIAF
INC24062369,2024-08-30 15:58:06,2024-08-30 17:17:25,2024-08,Phone,AXA FRANCE ADMIN,Application,Code Error,My support - VPN Win V2,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP PERFORMANCE LENTEUR,1.3219444444444444,Agent_075,Agent_075,Agent_075,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062354,2024-08-30 15:56:41,2024-08-30 16:25:53,2024-08,Phone,AXA FRANCE ADMIN,Access,Other,My support - Other Apps,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,[PassAXA/OneAccount] - Procédure - Réinitialisation du mot de passe ,0.4866666666666667,Agent_128,Agent_128,Agent_128,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062288,2024-08-30 15:49:19,2024-08-30 16:00:11,2024-08,Phone,AXA FRANCE ADMIN,Application,Other,My Support - Shared Resource,Production,Résolu,Résolu,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP APPLICATION METIER CODE ERROR,0.1811111111111111,Agent_033,Agent_033,Agent_033,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062283,2024-08-30 15:48:47,2024-08-30 17:12:43,2024-08,Phone,AXA FRANCE ADMIN,Application,Code Error,My support - VPN Win V2,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP PERFORMANCE LENTEUR,1.3988888888888888,Agent_075,Agent_075,Agent_075,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
